yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
26392024,2639,2024,FL0170400,FL0170400,,N,N,,I,UNIVERSITY OF WEST FLORI,UNIVERSITY OF WEST FLORIDA PD PENSACOLA,University of West Florida,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,University or College,0,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,18,4,22,4,4,8,0,0,2021-01-01,2022-01-01,2022-12-01,2022-12-01,2022-12-01,2022-12-01,N,ESCAMBIA,"Pensacola-Ferry Pass-Brent, FL",Y,Y,Y
26512024,2651,2024,FL0180000,FL0180000,,N,N,,I,FLAGLER,FLAGLER CO SO BUNNELL,Flagler,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,County,129740,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,Y,19,9A,"MSA counties 100,000 or over",9,MSA Counties,Y,19,,Y,178,17,195,27,52,79,1.6,2.1,2021-01-01,2024-01-01,2024-01-01,2024-01-01,2024-01-01,2024-01-01,N,FLAGLER,"Deltona-Daytona Beach-Ormond Beach, FL",Y,Y,Y
26532024,2653,2024,FL0180200,FL0180200,,N,N,,I,FLAGLER BEACH,FLAGLER BEACH PD,Flagler Beach,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,City,5675,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,13,1,14,2,3,5,2.6,3.3,2021-01-01,2024-03-01,2024-03-01,2024-03-01,2024-03-01,2024-03-01,N,"FLAGLER, VOLUSIA","Deltona-Daytona Beach-Ormond Beach, FL",Y,Y,Y
27022024,2702,2024,FL0220000,FL0220000,,N,N,,I,GLADES,GLADES CO SO MOORE HAVEN,Glades,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,County,13259,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,25,13,38,2,20,22,2.0,4.5,2021-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,N,GLADES,Not Specified,Y,Y,Y
27132024,2713,2024,FL0230000,FL0230000,,N,N,,I,GULF,GULF CO SO PORT ST JOE,Gulf,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,County,12563,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,26,2,28,5,12,17,2.5,3.6,2021-01-01,2021-11-01,2022-10-01,2022-10-01,2022-10-01,2022-10-01,N,GULF,Not Specified,Y,Y,Y
27532024,2753,2024,FL0260000,FL0260000,,N,N,,I,HENDRY,HENDRY CO SO LA BELLE,Hendry,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,County,38181,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,76,34,110,19,40,59,2.5,4.4,2021-01-01,2021-01-01,2022-05-01,2022-05-01,2022-05-01,2022-05-01,N,HENDRY,Not Specified,Y,Y,Y
27542024,2754,2024,FL0260100,FL0260100,,N,N,,I,CLEWISTON,CLEWISTON PD,Clewiston,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,City,7212,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,16,1,17,1,6,7,2.4,3.3,2021-01-01,2021-01-01,2022-05-01,2022-05-01,2022-05-01,2022-05-01,N,HENDRY,Not Specified,Y,Y,Y
27652024,2765,2024,FL0270000,FL0270000,,N,N,,I,HERNANDO,HERNANDO CO SO BROOKSVILLE,Hernando,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,County,212610,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,Y,19,9A,"MSA counties 100,000 or over",9,MSA Counties,Y,19,,Y,268,135,403,37,187,224,1.4,2.9,2021-01-01,2021-01-01,2022-10-01,2022-10-01,2022-10-01,2022-10-01,N,HERNANDO,"Tampa-St. Petersburg-Clearwater, FL",Y,Y,Y
27662024,2766,2024,FL0270100,FL0270100,,N,N,,I,BROOKSVILLE,BROOKSVILLE PD,Brooksville,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,City,10086,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,N,,,,,,,,,2021-01-01,2021-01-01,2022-10-01,2022-10-01,2022-10-01,2022-10-01,N,HERNANDO,"Tampa-St. Petersburg-Clearwater, FL",Y,Y,Y
27762024,2776,2024,FL0280000,FL0280000,,N,N,,I,HIGHLANDS,HIGHLANDS CO SO SEBRING,Highlands,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,County,97382,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,105,34,139,13,84,97,1.2,2.4,2021-01-01,2023-03-01,2023-03-01,2023-03-01,2023-03-01,2023-03-01,N,HIGHLANDS,"Sebring, FL",Y,Y,Y
27912024,2791,2024,FL0290000,FL0290000,,N,N,,I,HILLSBOROUGH,HILLSBOROUGH CO SO TAMPA,Hillsborough,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,County,1110150,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,Y,19,9A,"MSA counties 100,000 or over",9,MSA Counties,Y,19,,Y,1134,1122,2256,257,874,1131,1.3,3.1,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,HILLSBOROUGH,"Tampa-St. Petersburg-Clearwater, FL",Y,Y,Y
27932024,2793,2024,FL0290200,FL0290200,,N,N,,I,TAMPA,TAMPA PD,Tampa,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,City,408646,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,N,5,1C,"Cities from 250,000 thru 499,999",1,"All cities 250,000 or over",Y,5,,Y,773,89,862,174,188,362,2.3,3.0,2021-01-01,2021-01-01,2022-07-01,2022-07-01,2022-07-01,2022-07-01,N,HILLSBOROUGH,"Tampa-St. Petersburg-Clearwater, FL",Y,Y,Y
27962024,2796,2024,FL0290600,FL0290600,,N,N,,I,TAMPA INTERNATIONAL AIRP,TAMPA INTERNATIONAL AIRPORT POLICE TAMPA,Tampa International Airport,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,Other,0,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,61,46,107,16,16,32,0,0,2021-01-01,2023-07-01,2023-08-01,2023-08-01,2023-08-01,2023-08-01,N,HILLSBOROUGH,"Tampa-St. Petersburg-Clearwater, FL",Y,Y,Y
28202024,2820,2024,FL0310000,FL0310000,,N,N,,I,INDIAN RIVER,INDIAN RIVER CO SO VERO BEACH,Indian River,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,County,121434,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,Y,19,9A,"MSA counties 100,000 or over",9,MSA Counties,Y,19,,Y,195,140,335,22,150,172,1.8,4.2,2021-01-01,2023-09-01,2023-09-01,2023-09-01,2023-09-01,2023-09-01,N,INDIAN RIVER,"Sebastian-Vero Beach-West Vero Corridor, FL",Y,Y,Y
28232024,2823,2024,FL0310300,FL0310300,,N,N,,I,VERO BEACH,VERO BEACH PD,Vero Beach,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,City,17622,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,N,,,,,,,,,2021-01-01,2022-09-01,2023-03-01,2023-03-01,2023-03-01,2023-03-01,N,INDIAN RIVER,"Sebastian-Vero Beach-West Vero Corridor, FL",Y,Y,Y
